['[0.1, 0.1, 0.3999999998758234, 0.40000000012417664]', '[0.0, 0.0, 0.49999999958607894, 0.5000000004139211]', '[0.0, 0.0, 0.49999999958607894, 0.5000000004139211]', '[0.0, 0.0, 0.49999999958607894, 0.5000000004139211]']
['[0.1, 0.1, 0.40000000012417875, 0.3999999998758213]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.49999999917215787, 0.5000000008278421]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[0.1, 0.1, 0.4000000001241766, 0.39999999987582335]', '[0.0, 0.0, 0.4999999991721577, 0.5000000008278422]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[0.1, 0.1, 0.4000000001241766, 0.39999999987582335]', '[0.0, 0.0, 0.49999999917215776, 0.5000000008278422]', '[0.0, 0.0, 0.5000000008278447, 0.4999999991721553]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]']
['[0.1, 0.1, 0.4000000001241765, 0.3999999998758234]', '[1.172480980082824e-06, 0.0, 0.4999988271050989, 0.5000000004139211]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 6.304489827413384e-07, 0.9999993695510172]']
['[0.09999999999999998, 0.1, 0.40000000012417664, 0.3999999998758234]', '[2.0906432989242774e-06, 0.0, 0.4999979089427824, 0.5000000004139187]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.1, 0.39999999987582346, 0.4000000001241766]', '[2.312315805354182e-06, 0.0, 0.0, 0.9999976876841947]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.09999999999999998, 0.3999999998758234, 0.40000000012417664]', '[6.998459921975051e-07, 0.0, 0.0, 0.9999993001540078]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.09999999999999998, 0.09999999999999998, 0.3999999998758234, 0.40000000012417664]', '[0.0, 1.793658555016009e-09, 0.0, 0.9999999982063414]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.1, 0.39999999987582335, 0.4000000001241766]', '[0.0, 4.1392111960192324e-10, -3.9940126282328806e-10, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.1, 0.39999999987582346, 0.4000000001241766]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.1, 0.39999999987582335, 0.4000000001241766]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.3999999997516467, 0.1000000002483532, 0.1, 0.4]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.4000000001241766, 0.1, 0.09999999979393379, 0.4000000001241766]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.4000000001241766, 0.1, 0.09999999979078654, 0.4000000001241766]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.1, 0.1, 0.7000000000000001]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.1, 0.1, 0.7000000000000001]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.7000000000000001, 0.1, 0.1]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.7000000000000001, 0.1, 0.1]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.7000000000000001, 0.1, 0.1]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.7000000000000001, 0.1, 0.1]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.7000000000000001, 0.1, 0.1]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.7000000000000001, 0.1, 0.1]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.7000000000000001, 0.1, 0.1]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.7000000000000001, 0.1, 0.1]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.1, 0.7000000000000001, 0.1, 0.1]', '[0.0, 0.0, 0.0, 1.0]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
