['[5.900897392372867e-06, 0.0, 0.49999409868868644, 0.5000000004139211]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.49999999999999983, 0.0, 8.278421836926952e-10, 0.499999999172158]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.4999999991721579, 0.0, 8.278417951146366e-10, 0.5000000000000002]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.4999999987582366, 0.0, 0.0, 0.4999999999999998]', '[0.0, 8.746241498948216e-07, 0.0, 0.9999991253758502]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.4999999995860789, 0.0, 0.0, 0.5000000004139211]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.5000000004139211, 0.0, -7.77845470150988e-10, 0.5000000003639243]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 0.9999999991721578, 0.0, 8.278422392038465e-10]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 0.9999999991721578, 0.0, 8.278422392038465e-10]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 0.9999999991721578, 0.0, 8.278422392038465e-10]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 0.9999999991721578, 0.0, 8.278422392038465e-10]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 0.9999999991721578, 0.0, 8.278422392038465e-10]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 0.9999999991721578, 0.0, 8.278422392038465e-10]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 0.9999999991721578, 0.0, 8.278422392038465e-10]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[0.0, 1.0, 0.0, 0.0]', '[0.0, 8.278462360067351e-10, 0.0, 0.9999999991721538]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
['[9.313502565833076e-07, 0.9999981364716446, 0.0, 9.321780988225115e-07]', '[0.0, 1.0577174636324037e-05, 0.0, 0.9999894228253638]', '[0.0, 0.0, 0.4999999995860789, 0.5000000004139211]', '[0.0, 0.0, 0.0, 1.0]']
